,VitaminC
2029,0.0
2030,
2031,4.0
2032,45.8
2033,0.0
2034,17.6
2035,0.9
2036,0.0
2037,
2038,84.9
2039,260.8
2040,40.1
2041,0.0
2042,17.6
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,144.8
2048,0.0
2049,2.4
2050,0.6
2051,0.1
2052,0.0
2053,0.0
2054,0.1
2055,0.8
2056,0.1
2057,11.4
2058,0.0
2059,0.0
2060,47.3
2061,0.9
2062,0.0
2063,0.0
2064,0.4
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,4.0
2071,
2072,1.8
2073,5.7
2074,29.8
2075,23.3
2076,0.0
2077,0.0
2078,4.4
2079,0.3
2080,0.0
2081,6.8
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,
2087,0.0
2088,57.0
2089,0.2
2090,0.0
2091,0.0
2092,0.2
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,1.1
2098,5.5
2099,3.6
2100,0.0
2101,0.0
2102,0.1
2103,1.1
2104,0.9
2105,20.0
2106,24.7
2107,0.0
2108,6.0
2109,12.3
2110,0.0
2111,0.0
2112,33.0
2113,39.0
2114,0.0
2115,0.0
2116,2.1
2117,0.0
2118,1.1
2119,0.0
2120,0.0
2121,0.0
2122,0.0
2123,0.0
2124,26.2
2125,0.0
2126,120.0
2127,0.0
2128,3.2
2129,0.0
2130,0.0
2131,43.0
2132,0.0
2133,0.0
2134,0.5
2135,0.3
2136,8.3
2137,
2138,1.1
2139,0.0
2140,0.2
2141,2.5
2142,0.0
2143,0.0
2144,1.4
2145,22.2
2146,0.6
2147,0.0
2148,0.8
2149,0.0
2150,0.0
2151,4.1
2152,0.0
2153,
2154,0.0
2155,1.0
2156,0.0
2157,0.0
2158,1.0
2159,0.1
2160,
2161,1.8
2162,0.0
2163,0.0
2164,0.0
2165,69.0
2166,10.0
2167,
2168,0.0
2169,0.0
2170,0.0
2171,0.0
2172,0.8
2173,20.0
2174,0.0
2175,29.1
2176,0.0
2177,8.0
2178,0.0
2179,0.0
2180,0.0
2181,0.0
2182,0.0
2183,0.0
2184,0.0
2185,
2186,0.0
2187,0.0
2188,0.7
2189,0.1
2190,0.0
2191,0.0
2192,22.0
2193,0.0
2194,0.0
2195,0.0
2196,0.1
2197,0.0
2198,9.1
2199,0.0
2200,8.6
2201,0.3
2202,0.1
2203,0.0
2204,0.0
2205,12.0
2206,
2207,0.0
2208,7.5
2209,19.5
2210,63.3
2211,1.0
2212,0.0
2213,5.5
2214,2.0
2215,0.0
2216,0.3
2217,0.0
2218,3.5
2219,0.0
2220,
2221,54.5
